PID,Naphids,Thujene,Pinene,Camphene,Sabinene,Terpinene.alpha,oCymene,Limonene,Terpinene.gamma,Thujone,Eucaliptol,Terpineol.beta,SabineneHydrate,L.Camphor,Terpineol4,Terpineol,Dihydrocarvone,Copaene,Caryophyllene,Cubebene,Amorphene,GermacreneD,Sesquiphellandrene
P45,3,0.001,0.0015,0.0068,0.0446,0.0002,0.005,0,0.0015,0.13,0.0086,0.0012,0.0007,0.0725,0.0004,0.0009,0.0002,0.0013,0,0.0324,0.0022,0.0013,0.0002
P52,3,0.0059,0.0065,0.0154,0.01,0.0017,0.0077,0.0001,0.0082,0.0002,0.0206,0.019,0.0095,0.2302,0.0074,0,0.0004,0.0013,0,0.028,0.0023,0.0006,0
P57,3,0.0162,0.0061,0.0127,0.0237,0.0019,0,0,0.008,0.0001,0.023,0.0365,0.0077,0.1845,0.0065,0.0003,0.0004,0.002,0,0.0736,0.0045,0.003,0.0002
P67,3,0.0097,0.0022,0.01,0.0271,0.0017,0.0224,0.0001,0.0074,0,0.0326,0.0342,0.0083,0.1431,0.0057,0.0005,0.0022,0.0081,0,0.0985,0.0055,0.0033,0.0001
P72,3,0.0049,0.0009,0,0.0169,0.002,0.0166,0.0001,0.0059,0.9434,0.0576,0.0226,0.0072,0,0.0039,0,0.001,0.0016,0,0.0664,0.0037,0.0004,0
P75,3,0.0374,0.0046,0,0.0729,0.0156,0.0133,0.0006,0.0492,0.0002,0.1651,0.2768,0.0299,0,0.0228,0.001,0.0024,0.0054,0,0.1018,0.0044,0,0
P83,3,0.0172,0.0066,0.0197,0.0262,0.003,0.0093,0.0001,0.0115,0,0.0996,0.0611,0.016,0.3228,0.003,0,0.0007,0.001,0,0.0171,0.002,0,0
P101,3,0.0009,0.001,0.0002,0.2813,0.0003,0.012,0.0004,0.0026,0.9251,0.0149,0.0015,0.0024,0.0006,0.0005,0.0011,0.0005,0.001,0,0.0341,0.0021,0.0023,0
P105,3,0.033,0.0031,0,0.0531,0.0073,0.0088,0.0004,0.0273,0,0.1458,0.2143,0.0259,0.0002,0.0113,0.0007,0.0018,0.0033,0,0.0512,0.0025,0.0002,0
P109,3,0.0032,0.0008,0,0.0184,0.0006,0.0054,0,0.0038,0.9624,0.0067,0.0243,0.0027,0.0003,0.0009,0.0002,0.003,0.0057,0,0.0741,0.0039,0,0.0021
P114,3,0.0361,0.0044,0,0.0852,0.0055,0.0238,0.0004,0.0217,0.0005,0.3704,0.2294,0.0358,0,0.0149,0.0012,0.0041,0.0078,0,0.2709,0.0076,0,0
P119,3,0.0048,0.0038,0.0266,0.2515,0.0016,0.0176,0.0001,0.0067,0.0001,0.0348,0.422,0.0169,1.2665,0.0024,0.0013,0.0009,0.0017,0,0.1242,0.0046,0,0.0022
P125,3,0.025,0.0016,0.0222,0.0715,0.0029,0.0181,0,0.01,0,0.1705,0.1029,0.0204,0.8385,0.0058,0.0003,0.001,0.0022,0,0.0827,0.0043,0.0026,0.0011
P131,3,0.0331,0.0045,0,0.0585,0.0223,0.0379,0.0007,0.0589,0,0.1651,0.0651,0.0294,0.0001,0.0189,0.0006,0.0013,0.0023,0,0.0536,0.0039,0,0.0017
P136,3,0.0007,0.0015,0.0001,0.0367,0.0002,0,0,0.0009,0.2105,0.03,0.0024,0.002,0.0004,0.0012,0.0008,0.0004,0.0023,0,0.0714,0.0042,0.0029,0.0006
P143,3,0.0217,0.0044,0.0002,0.0333,0.0028,0,0.0115,0.0119,0.0012,0.0051,0.0342,0.0044,0,0.004,0.0009,0.0003,0.0016,0.0035,0.0478,0.0031,0.0024,0.0005
